2012/12/1,Minnesota Vikings,Chicago Bears,23,20
2012/12/1,Carolina Panthers,Tampa Bay Buccaneers,27,6
2012/12/2,Seattle Seahawks,New Orleans Saints,34,7
2012/12/5,Jacksonville Jaguars,Houston Texans,27,20
2012/12/8,Green Bay Packers,Atlanta Falcons,22,21
2012/12/8,Cincinnati Bengals,Indianapolis Colts,42,28
2012/12/8,Baltimore Ravens,Minnesota Vikings,29,26
2012/12/8,Tampa Bay Buccaneers,Buffalo Bills,27,6
2012/12/8,New Orleans Saints,Carolina Panthers,31,13
2012/12/8,Arizona Cardinals,St. Louis Rams,30,10
2012/12/8,Denver Broncos,Tennessee Titans,51,28
2012/12/8,New York Jets,Oakland Raiders,37,27
2012/12/8,Philadelphia Eagles,Detroit Lions,34,20
2012/12/8,Kansas City Chiefs,Washington Redskins,45,10
2012/12/8,New England Patriots,Cleveland Browns,27,26
2012/12/8,San Francisco 49ers,Seattle Seahawks,19,17
2012/12/8,San Diego Chargers,New York Giants,37,14
2012/12/8,Miami Dolphins,Pittsburgh Steelers,34,28
2012/12/9,Chicago Bears,Dallas Cowboys,45,28
2012/12/12,San Diego Chargers,Denver Broncos,27,20
2012/12/15,Pittsburgh Steelers,Cincinnati Bengals,30,20
2012/12/15,St. Louis Rams,New Orleans Saints,27,16
2012/12/15,Carolina Panthers,New York Jets,30,20
2012/12/15,Chicago Bears,Cleveland Browns,38,31
2012/12/15,Seattle Seahawks,New York Giants,23,0
2012/12/15,Green Bay Packers,Dallas Cowboys,37,36
2012/12/15,Buffalo Bills,Jacksonville Jaguars,27,20
2012/12/15,Minnesota Vikings,Philadelphia Eagles,48,30
2012/12/15,Arizona Cardinals,Tennessee Titans,37,34
2012/12/15,Kansas City Chiefs,Oakland Raiders,56,31
2012/12/15,Miami Dolphins,New England Patriots,24,20
2012/12/15,Atlanta Falcons,Washington Redskins,27,26
2012/12/15,San Francisco 49ers,Tampa Bay Buccaneers,33,14
2012/12/15,Indianapolis Colts,Houston Texans,25,3
2012/12/16,Baltimore Ravens,Detroit Lions,18,16
2012/12/22,Indianapolis Colts,Kansas City Chiefs,23,7
2012/12/22,Philadelphia Eagles,Chicago Bears,54,11
2012/12/22,Cincinnati Bengals,Minnesota Vikings,42,14
