Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-09-27,17:30:00,873.11,874.15,873.03,873.56,9085,0
2013-09-27,17:35:00,874.1,874.25,873.77,873.8,8698,0
2013-09-27,17:40:00,873.8,875.17,873.67,874.47,11100,0
2013-09-27,17:45:00,874.4,874.46,874.01,874.275,9628,0
2013-09-27,17:50:00,874.33,874.33,873.59,873.82,2680,0
2013-09-27,17:55:00,873.88,874.645,873.75,874.44,10141,0
2013-09-27,18:00:00,874.5,874.68,873.78,873.83,8731,0
2013-09-27,18:05:00,873.84,874.32,873.53,874.32,5631,0
2013-09-27,18:10:00,874.06,874.607,874.04,874.33,3500,0
2013-09-27,18:15:00,873.96,874.12,873.63,874.08,2500,0
2013-09-27,18:20:00,874.13,874.43,873.8,874.43,3606,0
2013-09-27,18:25:00,874.7,874.93,874.145,874.23,5437,0
2013-09-27,18:30:00,874.55,874.7,874.18,874.22,4194,0
2013-09-27,18:35:00,874.22,874.93,873.84,874.93,2648,0
2013-09-27,18:40:00,874.78,874.78,874.17,874.17,5591,0
2013-09-27,18:45:00,874.34,874.68,874.068,874.43,7737,0
2013-09-27,18:50:00,874.19,874.29,873.69,873.82,13276,0
2013-09-27,18:55:00,873.944,874.466,873.944,874.425,7674,0
2013-09-27,19:00:00,874.44,874.69,874.28,874.383,6300,0
2013-09-27,19:05:00,874.38,874.92,874.241,874.52,8530,0
2013-09-27,19:10:00,874.5,875,874.4,874.76,11654,0
2013-09-27,19:15:00,874.621,875.53,874.621,875.53,11314,0
2013-09-27,19:20:00,875.53,875.75,875.15,875.23,12967,0
2013-09-27,19:25:00,875.18,875.4,875,875.29,9176,0
2013-09-27,19:30:00,875.11,875.33,874.69,874.84,6370,0
2013-09-27,19:35:00,874.79,874.8,874.44,874.5,5400,0
2013-09-27,19:40:00,874.4,874.72,874.09,874.54,9389,0
2013-09-27,19:45:00,874.54,874.85,874.47,874.64,4900,0
2013-09-27,19:50:00,874.65,874.98,874.64,874.808,9086,0
2013-09-27,19:55:00,874.67,875.105,874.67,875.025,4000,0
2013-09-27,20:00:00,875.04,875.05,874.74,875.01,4700,0
2013-09-27,20:05:00,874.815,875.47,874.815,875.29,10914,0
2013-09-27,20:10:00,875.14,875.45,874.57,874.785,16576,0
2013-09-27,20:15:00,874.614,875.05,874.26,874.97,10162,0
2013-09-27,20:20:00,874.78,875.02,874.44,874.78,5872,0
2013-09-27,20:25:00,874.8,875.052,874.72,874.93,8815,0
2013-09-27,20:30:00,874.95,875.08,874.825,874.92,8319,0
2013-09-27,20:35:00,874.92,875.086,874.59,874.66,10785,0
2013-09-27,20:40:00,874.795,875.27,874.5,875.14,8023,0
2013-09-27,20:45:00,875.11,875.41,874.932,875.395,8600,0
2013-09-27,20:50:00,875.24,875.478,874.99,875.23,11383,0
2013-09-27,20:55:00,875,875.434,874.86,875.3,7282,0
2013-09-27,21:00:00,875.38,875.48,874.56,874.83,9555,0
2013-09-27,21:05:00,875.09,875.6,874.99,875.06,21585,0
2013-09-27,21:10:00,875.005,875.5,874.84,875.478,15656,0
2013-09-27,21:15:00,875.33,875.59,875.21,875.3,9424,0
2013-09-27,21:20:00,875.42,875.7,875.38,875.63,12974,0
2013-09-27,21:25:00,875.71,875.71,875.345,875.54,14255,0
2013-09-27,21:30:00,875.45,876.58,875.44,876.369,30991,0
2013-09-27,21:35:00,876.3,876.35,875.83,876.15,23627,0
2013-09-27,21:40:00,876.21,876.79,875.89,876.42,17655,0
2013-09-27,21:45:00,876.53,877.21,876.5,877.02,38736,0
2013-09-27,21:50:00,877.14,877.15,875.88,876.47,33385,0
2013-09-27,21:55:00,876.59,877.44,876.59,877.409,36536,0
2013-09-27,22:00:00,877.38,877.52,876.01,876.39,116009,0
2013-09-30,15:35:00,869.08,871.84,868.31,871.41,93798,0
2013-09-30,15:40:00,871.1,871.69,869.39,870.9,32170,0
2013-09-30,15:45:00,871.43,873.43,870.91,872.44,18639,0
2013-09-30,15:50:00,872.315,874,872.31,872.625,25553,0
2013-09-30,15:55:00,872.79,873.02,871.37,872.79,28527,0
2013-09-30,16:00:00,872.75,874.25,872.01,873.753,37560,0
2013-09-30,16:05:00,873.58,874.17,873.145,873.52,21094,0
2013-09-30,16:10:00,873.4,873.53,872.64,872.79,16098,0
2013-09-30,16:15:00,872.81,873.35,871.75,872.41,13419,0
2013-09-30,16:20:00,872.64,874.55,872.41,874.4,31924,0
2013-09-30,16:25:00,874.41,875.99,873.75,875.92,13529,0
2013-09-30,16:30:00,875.52,878.87,875.47,878.01,41940,0
2013-09-30,16:35:00,878.01,879.01,876.58,877.368,24152,0
2013-09-30,16:40:00,877.14,878.25,876.915,878.25,11490,0
2013-09-30,16:45:00,878.29,880.44,878.15,878.8,19609,0
2013-09-30,16:50:00,878.79,879.67,877.818,878.01,14288,0
2013-09-30,16:55:00,878.34,879.63,877.44,877.8,14110,0
2013-09-30,17:00:00,877.69,879.18,877.64,878.61,7275,0
2013-09-30,17:05:00,878.555,879.125,878.08,878.44,6722,0
2013-09-30,17:10:00,878.1,878.75,877.8,877.8,4526,0
2013-09-30,17:15:00,877.93,878.05,876.3,876.35,16327,0
2013-09-30,17:20:00,876.365,877.04,876,876.81,10218,0
2013-09-30,17:25:00,877.12,877.62,876.56,876.56,5848,0
2013-09-30,17:30:00,876.85,877.16,876.4,876.75,5207,0
2013-09-30,17:35:00,877.18,878.262,877.16,877.43,13820,0
2013-09-30,17:40:00,878.013,878.49,877.87,878.48,7953,0
2013-09-30,17:45:00,878.17,878.85,878.08,878.79,6836,0
2013-09-30,17:50:00,878.889,879.39,878,878,8375,0
2013-09-30,17:55:00,878.087,879.03,878.087,878.83,17878,0
2013-09-30,18:00:00,878.91,879.5,878.35,879.5,40034,0
2013-09-30,18:05:00,879.5,879.63,877.44,877.98,44507,0
2013-09-30,18:10:00,877.98,878.24,877.32,877.5,51633,0
2013-09-30,18:15:00,877.37,877.9,877.01,877.886,49316,0
2013-09-30,18:20:00,877.62,878,877.26,877.43,23801,0
2013-09-30,18:25:00,877.7,877.76,876.97,877.257,16587,0
2013-09-30,18:30:00,876.945,877.25,876.94,877.16,2294,0
2013-09-30,18:35:00,877.25,878.09,877.25,877.65,3715,0
2013-09-30,18:40:00,877.82,878.243,877.75,878.243,2141,0
